Year,Author,Title,Species,"Phyllum (Cnidarian, Mollusc, Echinoderm, Crustacean, Annelid, Bryzoan)",Stressor,Method (Metabolomics or Lipidomics),"Data Acquisition (Targeted, Semi-targeted, or Untargeted)",Platform,Steady State or Metabolic Flux?,Statistical Methods,Enrichment Method,Whole-Organism Physiological Traits Assessed,Other -Omic Methods,Integrative analysis,Take Homes,Abstract,DOI,Source
2016,"Melody S. Clark, Ulf Sommer, Jaspreet K. Sihra, Michael A. S. Thorne, Simon A. Morley, Michelle King, Mark R. Viant, Lloyd S. Peck",Biodiversity in marine invertebrate responses to acute warming revealed by a comparative multi-omics approach,Aequiyoldia eightsii,Mollusc,Temperature,Metabolomics,Untargeted (but not explicitly stated),"1H-NMR, LC-MS",Steady state,"PCA, PLS-DA",KEGG pathway identification but not enrichment,Upper lethal temperature,Transcriptomics,None,"Species-specific molecular responses to thermal stress, but they did not correlate with resilience to heat stress","Understanding species' responses to environmental change underpins our abilities to make predictions on future biodiversity under any range of scenarios. In spite of the huge biodiversity in most ecosystems, a model species approach is often taken in environmental studies. To date, we still do not know how many species we need to study to input into models and inform on ecosystem-level responses to change. In this study, we tested current paradigms on factors setting thermal limits by investigating the acute warming response of six Antarctic marine invertebrates: a crustacean Paraceradocus miersi, a brachiopod Liothyrella uva, two bivalve molluscs, Laternula elliptica, Aequiyoldia eightsii, a gastropod mollusc Marseniopsis mollis and an echinoderm Cucumaria georgiana. Each species was warmed at the rate of 1 °C h−1 and taken to the same physiological end point (just prior to heat coma). Their molecular responses were evaluated using complementary metabolomics and transcriptomics approaches with the aim of discovering the underlying mechanisms of their resilience or sensitivity to warming. The responses were species-specific; only two showed accumulation of anaerobic end products and three exhibited the classical heat shock response with expression of HSP70 transcripts. These diverse cellular measures did not directly correlate with resilience to heat stress and suggested that each species may have a different critical point of failure. Thus, one unifying molecular mechanism underpinning response to warming could not be assigned, and no overarching paradigm was supported. This biodiversity in response makes future ecosystems predictions extremely challenging, as we clearly need to develop a macrophysiology-type approach to cellular evaluations of the environmental stress response, studying a range of well-rationalized members from different community levels and of different phylogenetic origins rather than extrapolating from one or two arbitrary model species.",10.1111/gcb.13357,Manual
2016,"Melody S. Clark, Ulf Sommer, Jaspreet K. Sihra, Michael A. S. Thorne, Simon A. Morley, Michelle King, Mark R. Viant, Lloyd S. Peck",Biodiversity in marine invertebrate responses to acute warming revealed by a comparative multi-omics approach,Laternula elliptica,Mollusc,Temperature,Metabolomics,Untargeted (but not explicitly stated),"1H-NMR, LC-MS",Steady state,"PCA, PLS-DA",KEGG pathway identification but not enrichment,Upper lethal temperature,Transcriptomics,None,"Species-specific molecular responses to thermal stress, but they did not correlate with resilience to heat stress","Understanding species' responses to environmental change underpins our abilities to make predictions on future biodiversity under any range of scenarios. In spite of the huge biodiversity in most ecosystems, a model species approach is often taken in environmental studies. To date, we still do not know how many species we need to study to input into models and inform on ecosystem-level responses to change. In this study, we tested current paradigms on factors setting thermal limits by investigating the acute warming response of six Antarctic marine invertebrates: a crustacean Paraceradocus miersi, a brachiopod Liothyrella uva, two bivalve molluscs, Laternula elliptica, Aequiyoldia eightsii, a gastropod mollusc Marseniopsis mollis and an echinoderm Cucumaria georgiana. Each species was warmed at the rate of 1 °C h−1 and taken to the same physiological end point (just prior to heat coma). Their molecular responses were evaluated using complementary metabolomics and transcriptomics approaches with the aim of discovering the underlying mechanisms of their resilience or sensitivity to warming. The responses were species-specific; only two showed accumulation of anaerobic end products and three exhibited the classical heat shock response with expression of HSP70 transcripts. These diverse cellular measures did not directly correlate with resilience to heat stress and suggested that each species may have a different critical point of failure. Thus, one unifying molecular mechanism underpinning response to warming could not be assigned, and no overarching paradigm was supported. This biodiversity in response makes future ecosystems predictions extremely challenging, as we clearly need to develop a macrophysiology-type approach to cellular evaluations of the environmental stress response, studying a range of well-rationalized members from different community levels and of different phylogenetic origins rather than extrapolating from one or two arbitrary model species.",10.1111/gcb.13357,Manual
2016,"Melody S. Clark, Ulf Sommer, Jaspreet K. Sihra, Michael A. S. Thorne, Simon A. Morley, Michelle King, Mark R. Viant, Lloyd S. Peck",Biodiversity in marine invertebrate responses to acute warming revealed by a comparative multi-omics approach,Marseniopsis mollis,Mollusc,Temperature,Metabolomics,Untargeted (but not explicitly stated),"1H-NMR, LC-MS",Steady state,"PCA, PLS-DA",KEGG pathway identification but not enrichment,Upper lethal temperature,Transcriptomics,None,"Species-specific molecular responses to thermal stress, but they did not correlate with resilience to heat stress","Understanding species' responses to environmental change underpins our abilities to make predictions on future biodiversity under any range of scenarios. In spite of the huge biodiversity in most ecosystems, a model species approach is often taken in environmental studies. To date, we still do not know how many species we need to study to input into models and inform on ecosystem-level responses to change. In this study, we tested current paradigms on factors setting thermal limits by investigating the acute warming response of six Antarctic marine invertebrates: a crustacean Paraceradocus miersi, a brachiopod Liothyrella uva, two bivalve molluscs, Laternula elliptica, Aequiyoldia eightsii, a gastropod mollusc Marseniopsis mollis and an echinoderm Cucumaria georgiana. Each species was warmed at the rate of 1 °C h−1 and taken to the same physiological end point (just prior to heat coma). Their molecular responses were evaluated using complementary metabolomics and transcriptomics approaches with the aim of discovering the underlying mechanisms of their resilience or sensitivity to warming. The responses were species-specific; only two showed accumulation of anaerobic end products and three exhibited the classical heat shock response with expression of HSP70 transcripts. These diverse cellular measures did not directly correlate with resilience to heat stress and suggested that each species may have a different critical point of failure. Thus, one unifying molecular mechanism underpinning response to warming could not be assigned, and no overarching paradigm was supported. This biodiversity in response makes future ecosystems predictions extremely challenging, as we clearly need to develop a macrophysiology-type approach to cellular evaluations of the environmental stress response, studying a range of well-rationalized members from different community levels and of different phylogenetic origins rather than extrapolating from one or two arbitrary model species.",10.1111/gcb.13357,Manual
2016,"Melody S. Clark, Ulf Sommer, Jaspreet K. Sihra, Michael A. S. Thorne, Simon A. Morley, Michelle King, Mark R. Viant, Lloyd S. Peck",Biodiversity in marine invertebrate responses to acute warming revealed by a comparative multi-omics approach,Liothyrella uva,Brachiopod,Temperature,Metabolomics,Untargeted (but not explicitly stated),"1H-NMR, LC-MS",Steady state,"PCA, PLS-DA",KEGG pathway identification but not enrichment,Upper lethal temperature,Transcriptomics,None,"Species-specific molecular responses to thermal stress, but they did not correlate with resilience to heat stress","Understanding species' responses to environmental change underpins our abilities to make predictions on future biodiversity under any range of scenarios. In spite of the huge biodiversity in most ecosystems, a model species approach is often taken in environmental studies. To date, we still do not know how many species we need to study to input into models and inform on ecosystem-level responses to change. In this study, we tested current paradigms on factors setting thermal limits by investigating the acute warming response of six Antarctic marine invertebrates: a crustacean Paraceradocus miersi, a brachiopod Liothyrella uva, two bivalve molluscs, Laternula elliptica, Aequiyoldia eightsii, a gastropod mollusc Marseniopsis mollis and an echinoderm Cucumaria georgiana. Each species was warmed at the rate of 1 °C h−1 and taken to the same physiological end point (just prior to heat coma). Their molecular responses were evaluated using complementary metabolomics and transcriptomics approaches with the aim of discovering the underlying mechanisms of their resilience or sensitivity to warming. The responses were species-specific; only two showed accumulation of anaerobic end products and three exhibited the classical heat shock response with expression of HSP70 transcripts. These diverse cellular measures did not directly correlate with resilience to heat stress and suggested that each species may have a different critical point of failure. Thus, one unifying molecular mechanism underpinning response to warming could not be assigned, and no overarching paradigm was supported. This biodiversity in response makes future ecosystems predictions extremely challenging, as we clearly need to develop a macrophysiology-type approach to cellular evaluations of the environmental stress response, studying a range of well-rationalized members from different community levels and of different phylogenetic origins rather than extrapolating from one or two arbitrary model species.",10.1111/gcb.13357,Manual
2016,"Melody S. Clark, Ulf Sommer, Jaspreet K. Sihra, Michael A. S. Thorne, Simon A. Morley, Michelle King, Mark R. Viant, Lloyd S. Peck",Biodiversity in marine invertebrate responses to acute warming revealed by a comparative multi-omics approach,Cucumaria georgiana,Echinoderm,Temperature,Metabolomics,Untargeted (but not explicitly stated),"1H-NMR, LC-MS",Steady state,"PCA, PLS-DA",KEGG pathway identification but not enrichment,Upper lethal temperature,Transcriptomics,None,"Species-specific molecular responses to thermal stress, but they did not correlate with resilience to heat stress","Understanding species' responses to environmental change underpins our abilities to make predictions on future biodiversity under any range of scenarios. In spite of the huge biodiversity in most ecosystems, a model species approach is often taken in environmental studies. To date, we still do not know how many species we need to study to input into models and inform on ecosystem-level responses to change. In this study, we tested current paradigms on factors setting thermal limits by investigating the acute warming response of six Antarctic marine invertebrates: a crustacean Paraceradocus miersi, a brachiopod Liothyrella uva, two bivalve molluscs, Laternula elliptica, Aequiyoldia eightsii, a gastropod mollusc Marseniopsis mollis and an echinoderm Cucumaria georgiana. Each species was warmed at the rate of 1 °C h−1 and taken to the same physiological end point (just prior to heat coma). Their molecular responses were evaluated using complementary metabolomics and transcriptomics approaches with the aim of discovering the underlying mechanisms of their resilience or sensitivity to warming. The responses were species-specific; only two showed accumulation of anaerobic end products and three exhibited the classical heat shock response with expression of HSP70 transcripts. These diverse cellular measures did not directly correlate with resilience to heat stress and suggested that each species may have a different critical point of failure. Thus, one unifying molecular mechanism underpinning response to warming could not be assigned, and no overarching paradigm was supported. This biodiversity in response makes future ecosystems predictions extremely challenging, as we clearly need to develop a macrophysiology-type approach to cellular evaluations of the environmental stress response, studying a range of well-rationalized members from different community levels and of different phylogenetic origins rather than extrapolating from one or two arbitrary model species.",10.1111/gcb.13357,Manual
2016,"Melody S. Clark, Ulf Sommer, Jaspreet K. Sihra, Michael A. S. Thorne, Simon A. Morley, Michelle King, Mark R. Viant, Lloyd S. Peck",Biodiversity in marine invertebrate responses to acute warming revealed by a comparative multi-omics approach,Paraceradocus miersi,Crustacean,Temperature,Metabolomics,Untargeted (but not explicitly stated),"1H-NMR, LC-MS",Steady state,"PCA, PLS-DA",KEGG pathway identification but not enrichment,Upper lethal temperature,Transcriptomics,None,"Species-specific molecular responses to thermal stress, but they did not correlate with resilience to heat stress","Understanding species' responses to environmental change underpins our abilities to make predictions on future biodiversity under any range of scenarios. In spite of the huge biodiversity in most ecosystems, a model species approach is often taken in environmental studies. To date, we still do not know how many species we need to study to input into models and inform on ecosystem-level responses to change. In this study, we tested current paradigms on factors setting thermal limits by investigating the acute warming response of six Antarctic marine invertebrates: a crustacean Paraceradocus miersi, a brachiopod Liothyrella uva, two bivalve molluscs, Laternula elliptica, Aequiyoldia eightsii, a gastropod mollusc Marseniopsis mollis and an echinoderm Cucumaria georgiana. Each species was warmed at the rate of 1 °C h−1 and taken to the same physiological end point (just prior to heat coma). Their molecular responses were evaluated using complementary metabolomics and transcriptomics approaches with the aim of discovering the underlying mechanisms of their resilience or sensitivity to warming. The responses were species-specific; only two showed accumulation of anaerobic end products and three exhibited the classical heat shock response with expression of HSP70 transcripts. These diverse cellular measures did not directly correlate with resilience to heat stress and suggested that each species may have a different critical point of failure. Thus, one unifying molecular mechanism underpinning response to warming could not be assigned, and no overarching paradigm was supported. This biodiversity in response makes future ecosystems predictions extremely challenging, as we clearly need to develop a macrophysiology-type approach to cellular evaluations of the environmental stress response, studying a range of well-rationalized members from different community levels and of different phylogenetic origins rather than extrapolating from one or two arbitrary model species.",10.1111/gcb.13357,Manual
2016,"Emilia M. Sogin, Hollie M. Putnam, Paul E. Anderson & Ruth D. Gates ","Metabolomic signatures of increases in temperature and ocean
acidification from the reef-building coral, Pocillopora damicornis",Pocillopora damicornis,Cnidarian,Temperature,Metabolomics,Untargeted,LC-MS,Steady state,"OPLS-DA, variable loading score comparison",None,"Net photosynthesis, respiration, calcification",None,OPLS regression analysis to link primary metabolite and lipid data with whole-organism traits,"Changes in primary metabolism was associated with photosynthesis, but not other physiological parameters","Introduction
As a changing climate threatens the persistence of terrestrial and marine ecosystems by altering community composition and function, differential performance of taxa highlights the need for predictive metrics and mechanistic understanding of the factors underlying positive performance in the face of environmental disturbances. Biochemical reactions within cells provide a snapshot of molecular regulation and flexibility during exposure to environmental stressors. However, because the organism is the unit of selection there is a need for the integration of metabolite data with organism physiology to understand mechanisms responsible for individual success under a changing climate.

Objectives
Our study aims to characterize the molecular response of reef corals to simulated global climate change stressors. Furthermore, we seek to relate changes in the molecular physiology to observations in overall colony response.

Methods
To this end, we applied a non-targeted metabolomic approach to describe lipid and primary metabolite composition after exposure of the reef-building coral Pocillopora damicornis to ambient and elevated experimental climate change conditions. We compared these metabolite data to organism physiology, specifically the key processes of photosynthesis, respiration, and calcification.

Results
Corals significantly altered their lipid and primary metabolite profiles in response to experimental treatments. Primary metabolite profiles predicted organisms’ net photosynthesis, but not calcification or respiration measures. Despite challenges in metabolome annotation, our data indicated corals alter carbohydrate composition, cell structural lipids, and signaling compounds in response to elevated treatment conditions.

Conclusions
The integration of metabolite and physiological data highlights the predictive power of metabolomics in defining organism performance and provides biomarkers for future studies. Here, we present a multivariate biomarker approach to assess climate change impacts and advance our mechanistic understanding of stress response in this keystone species.",10.1007/s11306-016-0987-8,Manual
2016,"Emilia M. Sogin, Hollie M. Putnam, Paul E. Anderson & Ruth D. Gates ","Metabolomic signatures of increases in temperature and ocean
acidification from the reef-building coral, Pocillopora damicornis",Pocillopora damicornis,Cnidarian,Ocean acidification,Metabolomics,Untargeted,LC-MS,Steady state,"OPLS-DA, variable loading score comparison",None,"Net photosynthesis, respiration, calcification",None,OPLS regression analysis to link primary metabolite and lipid data with whole-organism traits,"Changes in primary metabolism was associated with photosynthesis, but not other physiological parameters","Introduction
As a changing climate threatens the persistence of terrestrial and marine ecosystems by altering community composition and function, differential performance of taxa highlights the need for predictive metrics and mechanistic understanding of the factors underlying positive performance in the face of environmental disturbances. Biochemical reactions within cells provide a snapshot of molecular regulation and flexibility during exposure to environmental stressors. However, because the organism is the unit of selection there is a need for the integration of metabolite data with organism physiology to understand mechanisms responsible for individual success under a changing climate.

Objectives
Our study aims to characterize the molecular response of reef corals to simulated global climate change stressors. Furthermore, we seek to relate changes in the molecular physiology to observations in overall colony response.

Methods
To this end, we applied a non-targeted metabolomic approach to describe lipid and primary metabolite composition after exposure of the reef-building coral Pocillopora damicornis to ambient and elevated experimental climate change conditions. We compared these metabolite data to organism physiology, specifically the key processes of photosynthesis, respiration, and calcification.

Results
Corals significantly altered their lipid and primary metabolite profiles in response to experimental treatments. Primary metabolite profiles predicted organisms’ net photosynthesis, but not calcification or respiration measures. Despite challenges in metabolome annotation, our data indicated corals alter carbohydrate composition, cell structural lipids, and signaling compounds in response to elevated treatment conditions.

Conclusions
The integration of metabolite and physiological data highlights the predictive power of metabolomics in defining organism performance and provides biomarkers for future studies. Here, we present a multivariate biomarker approach to assess climate change impacts and advance our mechanistic understanding of stress response in this keystone species.",10.1007/s11306-016-0987-8,Manual
2016,"Emilia M. Sogin, Hollie M. Putnam, Paul E. Anderson & Ruth D. Gates ","Metabolomic signatures of increases in temperature and ocean
acidification from the reef-building coral, Pocillopora damicornis",Pocillopora damicornis,Cnidarian,Temperature,Lipidomics,Untargeted,LC-MS,Steady state,"OPLS-DA, variable loading score comparison",None,"Net photosynthesis, respiration, calcification",None,OPLS regression analysis to link primary metabolite and lipid data with whole-organism traits,"Changes in primary metabolism was associated with photosynthesis, but not other physiological parameters","Introduction
As a changing climate threatens the persistence of terrestrial and marine ecosystems by altering community composition and function, differential performance of taxa highlights the need for predictive metrics and mechanistic understanding of the factors underlying positive performance in the face of environmental disturbances. Biochemical reactions within cells provide a snapshot of molecular regulation and flexibility during exposure to environmental stressors. However, because the organism is the unit of selection there is a need for the integration of metabolite data with organism physiology to understand mechanisms responsible for individual success under a changing climate.

Objectives
Our study aims to characterize the molecular response of reef corals to simulated global climate change stressors. Furthermore, we seek to relate changes in the molecular physiology to observations in overall colony response.

Methods
To this end, we applied a non-targeted metabolomic approach to describe lipid and primary metabolite composition after exposure of the reef-building coral Pocillopora damicornis to ambient and elevated experimental climate change conditions. We compared these metabolite data to organism physiology, specifically the key processes of photosynthesis, respiration, and calcification.

Results
Corals significantly altered their lipid and primary metabolite profiles in response to experimental treatments. Primary metabolite profiles predicted organisms’ net photosynthesis, but not calcification or respiration measures. Despite challenges in metabolome annotation, our data indicated corals alter carbohydrate composition, cell structural lipids, and signaling compounds in response to elevated treatment conditions.

Conclusions
The integration of metabolite and physiological data highlights the predictive power of metabolomics in defining organism performance and provides biomarkers for future studies. Here, we present a multivariate biomarker approach to assess climate change impacts and advance our mechanistic understanding of stress response in this keystone species.",10.1007/s11306-016-0987-8,Manual
2016,"Emilia M. Sogin, Hollie M. Putnam, Paul E. Anderson & Ruth D. Gates ","Metabolomic signatures of increases in temperature and ocean
acidification from the reef-building coral, Pocillopora damicornis",Pocillopora damicornis,Cnidarian,Ocean acidification,Lipidomics,Untargeted,LC-MS,Steady state,"OPLS-DA, variable loading score comparison",None,"Net photosynthesis, respiration, calcification",None,OPLS regression analysis to link primary metabolite and lipid data with whole-organism traits,"Changes in primary metabolism was associated with photosynthesis, but not other physiological parameters","Introduction
As a changing climate threatens the persistence of terrestrial and marine ecosystems by altering community composition and function, differential performance of taxa highlights the need for predictive metrics and mechanistic understanding of the factors underlying positive performance in the face of environmental disturbances. Biochemical reactions within cells provide a snapshot of molecular regulation and flexibility during exposure to environmental stressors. However, because the organism is the unit of selection there is a need for the integration of metabolite data with organism physiology to understand mechanisms responsible for individual success under a changing climate.

Objectives
Our study aims to characterize the molecular response of reef corals to simulated global climate change stressors. Furthermore, we seek to relate changes in the molecular physiology to observations in overall colony response.

Methods
To this end, we applied a non-targeted metabolomic approach to describe lipid and primary metabolite composition after exposure of the reef-building coral Pocillopora damicornis to ambient and elevated experimental climate change conditions. We compared these metabolite data to organism physiology, specifically the key processes of photosynthesis, respiration, and calcification.

Results
Corals significantly altered their lipid and primary metabolite profiles in response to experimental treatments. Primary metabolite profiles predicted organisms’ net photosynthesis, but not calcification or respiration measures. Despite challenges in metabolome annotation, our data indicated corals alter carbohydrate composition, cell structural lipids, and signaling compounds in response to elevated treatment conditions.

Conclusions
The integration of metabolite and physiological data highlights the predictive power of metabolomics in defining organism performance and provides biomarkers for future studies. Here, we present a multivariate biomarker approach to assess climate change impacts and advance our mechanistic understanding of stress response in this keystone species.",10.1007/s11306-016-0987-8,Manual
2016,"Putnam, Hollie M.; Davidson, Jennifer M.; Gates, Ruth D.",Ocean acidification influences host DNA methylation and phenotypic plasticity in environmentally susceptible corals,Pocillopora damicornis; Montipora capitata,Cnidarian,Ocean acidification,Metabolomics,"Untargeted, analyzed only those identified in database",1H-NMR,Steady state,OPLSDA; STOSCY correlations,"None, general description of types of compounds ",Calcification ,DNA methylation,"None, qualitative discussion",Plasticity in response to OA treatment observed ,"As climate change challenges organismal fitness by creating a phenotype-environment mismatch, phenotypic plasticity generated by epigenetic mechanisms (e.g., DNA methylation) can provide a temporal buffer for genetic adaptation. Epigenetic mechanisms may be crucial for sessile benthic marine organisms, such as reef-building corals, where ocean acidification (OA) and warming reflect in strong negative responses. We tested the potential for scleractinian corals to exhibit phenotypic plasticity associated with a change in DNA methylation in response to OA. Clonal coral fragments of the environmentally sensitive Pocillopora damicornis and more environmentally robust Montipora capitata were exposed to fluctuating ambient pH (7.9-7.65) and low pH (7.6-7.35) conditions in common garden tanks for similar to 6 weeks. M. capitata responded weakly, or acclimated more quickly, to OA, with no difference in calcification, minimal separation of metabolomic profiles, and no change in DNA methylation between treatments. Conversely, P. damicornis exhibited diminished calcification at low pH, stronger separation in metabolomic profiles, and responsiveness of DNA methylation to treatment. Our data suggest corals differ in their temporal dynamics and sensitivity for environmentally triggered real-time epigenetic reprogramming. The generation of potentially heritable plasticity via environmental induction of DNA methylation provides an avenue for assisted evolution applications in corals under rapid climate change.",10.1111/eva.12408,Both
2015,"Lei Wei, Qing Wang, Xuanxuan Ning, Changkao Mu, Chunlin Wang, Ruiwen Cao, Huifeng Wu, Ming Cong, Fei Li, Chenglong Ji, Jianmin Zhao",Combined metabolome and proteome analysis of the mantle tissue from PacificoysterCrassostrea gigas exposed to elevated pCO2,Crassostrea gigas,Mollusc,Ocean acidification,Metabolomics,Untargeted (but not explicitly stated),1H-NMR,Steady state,"PCA, PLS-DA, OPLS-DA",None,"Histology, enzyme activity, Ca2+ content","Proteomics, RT-qPCR",None,OA induces changes in energy metabolism,"Ocean acidification (OA) has been found to affect an array of normal physiological processes in mollusks, especially posing a significant threat to the fabrication process of mollusk shell. In the current study, the impact of exposure to elevated pCO2 condition was investigated in mantle tissue of Crassostrea gigas by an integrated metabolomic and proteomic approach. Analysis of metabolome and proteome revealed that elevated pCO2 could affect energy metabolism in oyster C. gigas, marked by differentially altered ATP, succinate, MDH, PEPCK and ALDH levels. Moreover, the up-regulated calponin-2, tropomyosins and myosin light chains indicated that elevated pCO2 probably caused disturbances in cytoskeleton structure in mantle tissue of oyster C. gigas. This work demonstrated that a combination of proteomics and metabolomics could provide important insights into the effects of OA at molecular levels.",10.1016/j.cbd.2014.12.001,Manual
2015,"Zittier, Zora M.C.;Bock, Christian https://orcid.org/0000-0003-0052-3090;Lannig, Gisela;Pörtner, Hans O",Impact of ocean acidification on thermal tolerance and acid–base regulation of Mytilus edulis (L.) from the North Sea,Mytilus edulis,Mollusc,Ocean acidification,Metabolomics,Targeted,1H-NMR,Steady state,Two-way ANOVA,None,"Oxygen consumption, hemolymph pCO2, hemolymph pH, hemolymph bicarbonate concentration, heart rate",None,None,"Oxygen consumption limited in control vs. hypercapnic conditions due to changes in succinate abudnance, indicating metabolic depression after heat stress","Anthropogenic climate change confronts marine organisms with rapid trends of concomitant warming and CO2 induced ocean acidification. The survival and distribution of species partly depend on their ability to exploit their physiological plasticity during acclimatization. Therefore, in laboratory studies the effects of simulated future ocean acidification on thermal tolerance, energy metabolism and acid–base regulation capacity of the North Sea population of the blue mussel Mytilus edulis were examined. Following one month of pre-acclimation to 10°C and control CO2 levels, mussels were exposed for two weeks to control and projected oceanic CO2 levels (390, 750 and 1120μatm) before being subjected to a stepwise warming protocol between 10°C and 31°C (+3°C each night). Oxygen consumption and heart rates, anaerobic metabolite levels and haemolymph acid–base status were determined at each temperature. CO2 exposure left oxygen consumption rate unchanged at acclimation temperature but caused a somewhat stronger increase during acute warming and thus mildly higher Q10-values than seen in controls. Interestingly, the thermally induced limitation of oxygen consumption rate set in earlier in normocapnic than in hypercapnic (1120μatm CO2) mussels (25.2°C vs. 28.8°C), likely due to an onset of metabolic depression in the control group following warming. However, the temperature induced increase in heart rate became limited above 25°C in both groups indicating an unchanged pejus temperature regardless of CO2 treatment. An upper critical temperature was reached above 28°C in both treatments indicated by the accumulation of anaerobic metabolites in the mantle tissue, paralleled by a strong increase in haemolymph PCO2 at 31°C. Ocean acidification caused a decrease in haemolymph pH. The extracellular acidosis remained largely uncompensated despite some bicarbonate accumulation. In all treatments animals developed a progressive warming-induced extracellular acidosis. A stronger pH drop at around 25°C was followed by stagnating heart rates. However, normocapnic mussels enhanced bicarbonate accumulation at the critical limit, a strategy no longer available to hypercapnic mussels. In conclusion, CO2 has small effects on the response patterns of mussels to warming, leaving thermal thresholds largely unaffected. High resilience of adult North Sea mussels to future ocean acidification indicates that sensitivity to thermal stress is more relevant in shaping the response to future climate change.",10.1016/j.jembe.2015.08.001,ProQuest
2012,"Karen M. Hammer, Sindre A. Pedersen, Trond R. Størseth",Elevated seawater levels of CO2 change the metabolic fingerprint of tissues and hemolymph from the green shore crab Carcinus maenas,Carcinus maenas,Crustacean,Ocean acidification,Metabolomics,Untargeted (but not explicitly stated),1H-NMR,Steady state,"PCA, PLS regression analysis",None,None,None,None,"Reduction in important cellular osmolytes suggest that OA impacts osmotic regulation in crustaceans, or increased amino acid catabolism","Carbon dioxide (CO2) acts as a weak acid in water and the increasing level of CO2 in the atmosphere leads to ocean acidification. In addition, possible leakage from sub-seabed storage of anthropogenic CO2 may pose a threat to the marine environment. 1H NMR spectroscopy was applied to extracts of hemolymph, gills and leg muscle from shore crabs (Carcinus maenas) to examine the metabolic response to elevated levels of CO2. Crabs were exposed to different levels of CO2‐acidified seawater with pHNBS 7.4, 6.6 and 6.3 (pCO2 ~ 2600, 16,000 and 30,000 μatm, respectively) for two weeks (level-dependent exposure). In addition, the metabolic response was followed for up to 4 weeks of exposure to seawater pHNBS 6.9 (pCO2 ~ 7600 μatm). Partial least squares regression analysis of data showed an increased differentiation between metabolic fingerprints of controls and exposed groups for all sample types with increasing CO2 levels. Difference between controls and animals subjected to time-dependent exposure appeared after 4 weeks in the hemolymph and gills, and after 48 h of exposure in the leg muscle. Changes in metabolic profiles were mainly due to a reduced level of important intracellular osmolytes such as amino acids (glycine, proline), while the level of other metabolites varied between the different sample types. The results are similar to what is observed in animals exposed to hypo-osmotic stress and may suggest disturbances in intracellular iso-osmotic regulation. The results may also reflect increased catabolism of amino acids to supply the body fluids with proton-buffering ammonia (NH3). Alternatively, the findings may reflect an exhaustive effect of CO2 exposure.",10.1016/j.cbd.2012.06.001,Manual
2010,"Lannig, Gisela; Eilers, Silke; Poertner, Hans O.; Sokolova, Inna M.; Bock, Christian","Impact of Ocean Acidification on Energy Metabolism of Oyster, Crassostrea gigas-Changes in Metabolic Pathways and Thermal Response",Crassostrea gigas,Mollusc,Ocean acidification,Metabolomics,Targeted ,1H-NMR,Steady state,T-tests,Manual mapping and targeted hypotheses,"Hemolymph chemistry, metabolic rate/respiration; condition index",None,None,Shifts in metabolic pathways after exposure to ocean acidification ,"Climate change with increasing temperature and ocean acidification (OA) poses risks for marine ecosystems. According to Portner and Farrell [1], synergistic effects of elevated temperature and CO2-induced OA on energy metabolism will narrow the thermal tolerance window of marine ectothermal animals. To test this hypothesis, we investigated the effect of an acute temperature rise on energy metabolism of the oyster, Crassostrea gigas chronically exposed to elevated CO2 levels (partial pressure of CO2 in the seawater similar to 0.15 kPa, seawater pH similar to 7.7). Within one month of incubation at elevated PCO2 and 15 degrees C hemolymph pH fell (pH(e) = 7.1 +/- 0.2 (CO2-group) vs. 7.6 +/- 0.1 (control)) and PeCO2 values in hemolymph increased (0.5 +/- 0.2 kPa (CO2-group) vs. 0.2 +/- 0.04 kPa (control)). Slightly but significantly elevated bicarbonate concentrations in the hemolymph of CO2-incubated oysters ([HCO3-](e) = 1.8 +/- 0.3 mM (CO2-group) vs. 1.3 +/- 0.1 mM (control)) indicate only minimal regulation of extracellular acid-base status. At the acclimation temperature of 15 degrees C the OA-induced decrease in pHe did not lead to metabolic depression in oysters as standard metabolism rates (SMR) of CO2-exposed oysters were similar to controls. Upon acute warming SMR rose in both groups, but displayed a stronger increase in the CO2-incubated group. Investigation in isolated gill cells revealed a similar temperature-dependence of respiration between groups. Furthermore, the fraction of cellular energy demand for ion regulation via Na+/K+-ATPase was not affected by chronic hypercapnia or temperature. Metabolic profiling using H-1-NMR spectroscopy revealed substantial changes in some tissues following OA exposure at 15 degrees C. In mantle tissue alanine and ATP levels decreased significantly whereas an increase in succinate levels was observed in gill tissue. These findings suggest shifts in metabolic pathways following OA-exposure. Our study confirms that OA affects energy metabolism in oysters and suggests that climate change may affect populations of sessile coastal invertebrates such as mollusks.",10.3390/md8082318,Both
